message_type,occurence_timestamp,timeStampUTC,author,content,message,emoji,text_content
Chat Message,3:47:58,2026-01-24 11:13:23.431908,@Raiji471,"{'message': 'AE BOT ', 'emoji': [], 'text_content': 'AE BOT '}",AE BOT ,[],AE BOT 
Chat Message,3:47:58,2026-01-24 11:13:23.808927,@RapPiwwEzz,"{'message': 'ae bot ', 'emoji': [], 'text_content': 'ae bot '}",ae bot ,[],ae bot 
Chat Message,3:47:58,2026-01-24 11:13:23.889697,@hilmyardhzz3614,"{'message': 'aduhhh ', 'emoji': [], 'text_content': 'aduhhh '}",aduhhh ,[],aduhhh 
Chat Message,3:47:59,2026-01-24 11:13:24.063166,@haortayoelarisianipar687,"{'message': 'AE BOY ', 'emoji': [], 'text_content': 'AE BOY '}",AE BOY ,[],AE BOY 
Chat Message,3:47:59,2026-01-24 11:13:24.206929,@FathurRohim-u5r,"{'message': 'bot ae ', 'emoji': [], 'text_content': 'bot ae '}",bot ae ,[],bot ae 
Chat Message,3:47:59,2026-01-24 11:13:24.220497,@Marselinozzz,"{'message': 'gooo ', 'emoji': [], 'text_content': 'gooo '}",gooo ,[],gooo 
Chat Message,3:47:59,2026-01-24 11:13:24.361796,@RENN_505,"{'message': 'SABARRR ', 'emoji': [], 'text_content': 'SABARRR '}",SABARRR ,[],SABARRR 
Chat Message,3:47:59,2026-01-24 11:13:24.460533,@RizkyFitriansyah-l6w,"{'message': 'sabar anj ', 'emoji': [], 'text_content': 'sabar anj '}",sabar anj ,[],sabar anj 
Chat Message,3:47:59,2026-01-24 11:13:24.601789,@AimanGeming01,"{'message': 'bismilah tlph ', 'emoji': [], 'text_content': 'bismilah tlph '}",bismilah tlph ,[],bismilah tlph 
Chat Message,3:47:59,2026-01-24 11:13:24.610596,@RidoLeonardo-k5b,"{'message': 'HINA TERUSS BIAR PASIF GA AKTIF ', 'emoji': [], 'text_content': 'HINA TERUSS BIAR PASIF GA AKTIF '}",HINA TERUSS BIAR PASIF GA AKTIF ,[],HINA TERUSS BIAR PASIF GA AKTIF 
Chat Message,3:48:00,2026-01-24 11:13:25.061467,@FachrizaAlkif,"{'message': 'AE BOT ', 'emoji': [], 'text_content': 'AE BOT '}",AE BOT ,[],AE BOT 
Chat Message,3:48:00,2026-01-24 11:13:25.008564,@kennyaja11,"{'message': 'tim ayam esports main jam brapa ? ', 'emoji': [], 'text_content': 'tim ayam esports main jam brapa ? '}",tim ayam esports main jam brapa ? ,[],tim ayam esports main jam brapa ? 
Chat Message,3:48:00,2026-01-24 11:13:25.046409,@fkerssss9,"{'message': 'deg deg ann uyy ', 'emoji': [], 'text_content': 'deg deg ann uyy '}",deg deg ann uyy ,[],deg deg ann uyy 
Chat Message,3:48:00,2026-01-24 11:13:25.188476,@gilangkusnandar9637,"{'message': 'ae bot ', 'emoji': [], 'text_content': 'ae bot '}",ae bot ,[],ae bot 
Chat Message,3:48:00,2026-01-24 11:13:25.226372,@Y-Zidd_24,"{'message': 'ae bot ayam ', 'emoji': [], 'text_content': 'ae bot ayam '}",ae bot ayam ,[],ae bot ayam 
Chat Message,3:48:00,2026-01-24 11:13:25.278919,@RafaAbdillah-sy8qt,"{'message': 'BALIK AEEE LAMA BANGET ', 'emoji': [], 'text_content': 'BALIK AEEE LAMA BANGET '}",BALIK AEEE LAMA BANGET ,[],BALIK AEEE LAMA BANGET 
Chat Message,3:48:00,2026-01-24 11:13:25.288409,@iannn092,"{'message': 'hadeuh ', 'emoji': [], 'text_content': 'hadeuh '}",hadeuh ,[],hadeuh 
Chat Message,3:48:00,2026-01-24 11:13:25.263128,@samsulirpan3965,"{'message': 'Yo AE bisa bismillah ', 'emoji': [], 'text_content': 'Yo AE bisa bismillah '}",Yo AE bisa bismillah ,[],Yo AE bisa bismillah 
Chat Message,3:48:00,2026-01-24 11:13:25.312363,@rifkymahakam7492,"{'message': 'bot aeco ', 'emoji': [], 'text_content': 'bot aeco '}",bot aeco ,[],bot aeco 
Chat Message,3:48:00,2026-01-24 11:13:25.440033,@NorSholeh-nx4ip,"{'message': 'ae ayam ', 'emoji': [], 'text_content': 'ae ayam '}",ae ayam ,[],ae ayam 
Chat Message,3:48:00,2026-01-24 11:13:25.499993,@ramakembang147,"{'message': 'el sabar ', 'emoji': [], 'text_content': 'el sabar '}",el sabar ,[],el sabar 
Chat Message,3:48:00,2026-01-24 11:13:25.535273,@fiyaa_crxs,"{'message': 'ae ayam ', 'emoji': [], 'text_content': 'ae ayam '}",ae ayam ,[],ae ayam 
Chat Message,3:48:00,2026-01-24 11:13:25.931912,@TarunaKiswara,"{'message': 'msih bisa bertahan ', 'emoji': [], 'text_content': 'msih bisa bertahan '}",msih bisa bertahan ,[],msih bisa bertahan 
Chat Message,3:48:00,2026-01-24 11:13:25.855556,@kangulas212,"{'message': 'bloonic ', 'emoji': [], 'text_content': 'bloonic '}",bloonic ,[],bloonic 
Chat Message,3:48:01,2026-01-24 11:13:26.383784,@kurko0896,"{'message': 'aeee bisaa apa kocak ', 'emoji': [], 'text_content': 'aeee bisaa apa kocak '}",aeee bisaa apa kocak ,[],aeee bisaa apa kocak 
Chat Message,3:48:01,2026-01-24 11:13:26.535297,@dongeng_moviee5094,"{'message': 'hina ae jgn dipuji ', 'emoji': [], 'text_content': 'hina ae jgn dipuji '}",hina ae jgn dipuji ,[],hina ae jgn dipuji 
Chat Message,3:48:01,2026-01-24 11:13:26.603157,@TulisanTangan,"{'message': 'nt ae ', 'emoji': [], 'text_content': 'nt ae '}",nt ae ,[],nt ae 
Chat Message,3:48:01,2026-01-24 11:13:26.614295,@kulitroti,"{'message': 'sabar ', 'emoji': [], 'text_content': 'sabar '}",sabar ,[],sabar 
Chat Message,3:48:01,2026-01-24 11:13:26.661489,@adits2217,"{'message': 'ae bot ', 'emoji': [], 'text_content': 'ae bot '}",ae bot ,[],ae bot 
Chat Message,3:48:01,2026-01-24 11:13:26.778466,@biduanjelek,"{'message': 'mundur lek ', 'emoji': [], 'text_content': 'mundur lek '}",mundur lek ,[],mundur lek 
Chat Message,3:48:01,2026-01-24 11:13:26.888127,@lordma6233,"{'message': 'mampus lu oheb ', 'emoji': [], 'text_content': 'mampus lu oheb '}",mampus lu oheb ,[],mampus lu oheb 
Chat Message,3:48:01,2026-01-24 11:13:26.853501,@dendijordan08,"{'message': 'ae bot mana mampu ', 'emoji': [], 'text_content': 'ae bot mana mampu '}",ae bot mana mampu ,[],ae bot mana mampu 
Chat Message,3:48:01,2026-01-24 11:13:26.945249,@rima9150,"{'message': 'gak cocok klen maju ', 'emoji': [], 'text_content': 'gak cocok klen maju '}",gak cocok klen maju ,[],gak cocok klen maju 
Chat Message,3:48:02,2026-01-24 11:13:27.153656,@abeliosyahrudi1301,"{'message': 'nt ae,pulang aja ae bot ', 'emoji': [], 'text_content': 'nt ae,pulang aja ae bot '}","nt ae,pulang aja ae bot ",[],"nt ae,pulang aja ae bot "
Chat Message,3:48:02,2026-01-24 11:13:27.215578,@Blue-aldous,"{'message': 'AE PULANGGGGGG ', 'emoji': [], 'text_content': 'AE PULANGGGGGG '}",AE PULANGGGGGG ,[],AE PULANGGGGGG 
Chat Message,3:48:02,2026-01-24 11:13:27.362481,@standardLit,"{'message': 'HINA WOI ', 'emoji': [], 'text_content': 'HINA WOI '}",HINA WOI ,[],HINA WOI 
Chat Message,3:48:02,2026-01-24 11:13:27.545190,@Vastrisme,"{'message': 'ayam ae ', 'emoji': [], 'text_content': 'ayam ae '}",ayam ae ,[],ayam ae 
Chat Message,3:48:02,2026-01-24 11:13:27.562222,@carnadicarnadi351,"{'message': 'sabar sabar gess ', 'emoji': [], 'text_content': 'sabar sabar gess '}",sabar sabar gess ,[],sabar sabar gess 
Chat Message,3:48:02,2026-01-24 11:13:27.719294,@ziyyia,"{'message': 'ae pulang ', 'emoji': [], 'text_content': 'ae pulang '}",ae pulang ,[],ae pulang 
Chat Message,3:48:02,2026-01-24 11:13:27.923839,@victorsiahaan3166,"{'message': 'ae bit ', 'emoji': [], 'text_content': 'ae bit '}",ae bit ,[],ae bit 
Chat Message,3:48:03,2026-01-24 11:13:28.100101,@OPHB-z1b,"{'message': 'GG AE ', 'emoji': [], 'text_content': 'GG AE '}",GG AE ,[],GG AE 
Chat Message,3:48:03,2026-01-24 11:13:28.096691,@AMR-hi8uq,"{'message': 'SABAR SABAR SABAR ', 'emoji': [], 'text_content': 'SABAR SABAR SABAR '}",SABAR SABAR SABAR ,[],SABAR SABAR SABAR 
Chat Message,3:48:03,2026-01-24 11:13:28.091406,@DENISdunuse,"{'message': 'AE BOT ', 'emoji': [], 'text_content': 'AE BOT '}",AE BOT ,[],AE BOT 
Chat Message,3:48:03,2026-01-24 11:13:28.196958,@fahrilaja6727,"{'message': 'jgn nafsu ', 'emoji': [], 'text_content': 'jgn nafsu '}",jgn nafsu ,[],jgn nafsu 
Chat Message,3:48:03,2026-01-24 11:13:28.205908,@supriadiefendi559,"{'message': 'gogogi ', 'emoji': [], 'text_content': 'gogogi '}",gogogi ,[],gogogi 
Chat Message,3:48:03,2026-01-24 11:13:28.206917,@raflypramudya3423,"{'message': 'ae bot tlol ', 'emoji': [], 'text_content': 'ae bot tlol '}",ae bot tlol ,[],ae bot tlol 
Chat Message,3:48:03,2026-01-24 11:13:28.253034,@hestiadelia,"{'message': 'bot pulang bot ', 'emoji': [], 'text_content': 'bot pulang bot '}",bot pulang bot ,[],bot pulang bot 
Chat Message,3:48:03,2026-01-24 11:13:28.262330,@selfreminder-tr,"{'message': 'BOT BOT BOT ', 'emoji': [], 'text_content': 'BOT BOT BOT '}",BOT BOT BOT ,[],BOT BOT BOT 
Chat Message,3:48:03,2026-01-24 11:13:28.422739,@fajarwahyudi9974,"{'message': 'SABAR AE BOT ', 'emoji': [], 'text_content': 'SABAR AE BOT '}",SABAR AE BOT ,[],SABAR AE BOT 
Chat Message,3:48:03,2026-01-24 11:13:28.421137,@FachrizaAlkif,"{'message': 'AE BOT ', 'emoji': [], 'text_content': 'AE BOT '}",AE BOT ,[],AE BOT 
